"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","third2$VORP","Tm.y","Index","Image"
"454","Mike Dunleavy","SF","35","CHI","2.5","6.1","0.41","1.3","3.2","0.394","1.2","2.9","0.427","0.513","0.9","1.2","0.784","0.3","2.4","2.7","1.3","0.5","0.3","0.8","2.1","7.2","0.543","0.527","0.197","1.2","11","6.2","8.1","1","1","11.3","14.4","2016","Sharpshooters",0,"CHI","dunlemi02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dunlemi02.jpg"
"455","Mike Scott","PF","27","ATL","2.3","5","0.468","0.8","2.1","0.392","1.5","2.9","0.523","0.551","0.7","0.8","0.794","0.7","2","2.7","1","0.3","0.2","0.6","1.4","6.2","0.575","0.42","0.168","5.2","14.2","9.8","10.5","1.1","1.2","9.4","17.4","2016","Sharpshooters",0.4,"ATL","scottmi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/scottmi01.jpg"
"456","Miles Plumlee","C","27","MIL","2.3","3.8","0.601","0","0","0","2.3","3.8","0.601","0.601","0.6","1","0.576","1.5","2.3","3.8","0.3","0.3","0.8","0.7","1.2","5.1","0.606","0","0.253","12.5","18","15.2","2.9","1.2","4.9","13.4","15.5","2016","Bruiser Big Men",0,"MIL","plumlmi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/plumlmi01.jpg"
"457","Mirza Teletovic","PF","30","PHO","4.2","9.8","0.427","2.3","5.8","0.393","1.9","4","0.476","0.544","1.5","2","0.774","0.7","3.1","3.8","1.1","0.4","0.3","1.1","2","12.2","0.571","0.592","0.199","3.5","16.3","9.7","9.1","0.9","1","9","23.4","2016","Wing Scorers",0.7,"PHO","teletmi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/teletmi01.jpg"
"458","Mo Williams","PG","33","CLE","3.2","7.4","0.437","0.9","2.5","0.353","2.3","4.9","0.48","0.497","0.9","1","0.905","0.1","1.6","1.8","2.4","0.3","0.1","1.4","1.5","8.2","0.527","0.338","0.139","0.9","9.9","5.4","21.1","1","0.5","15.1","22.8","2016","Sharpshooters",-0.2,"CLE","willima01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/willima01.jpg"
"459","Monta Ellis","SG","30","IND","5.4","12.6","0.427","1.1","3.5","0.309","4.3","9.1","0.472","0.47","2","2.5","0.786","0.5","2.8","3.3","4.7","1.9","0.5","2.5","2.1","13.8","0.504","0.276","0.202","1.7","9.1","5.4","22.2","2.7","1.1","15.4","21.2","2016","Ball Handlers",1.6,"IND","ellismo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ellismo01.jpg"
"460","Myles Turner","C","19","IND","4.4","8.8","0.498","0.1","0.2","0.214","4.4","8.6","0.506","0.501","1.5","2","0.727","1.1","4.4","5.5","0.7","0.4","1.4","1.1","2.6","10.3","0.531","0.026","0.228","5.5","21","13.3","5","0.9","5.1","10.3","20.9","2016","Bruiser Big Men",-0.1,"IND","turnemy01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/turnemy01.jpg"
"461","Nemanja Bjelica","PF","27","MIN","1.8","3.9","0.468","0.8","2.1","0.384","1","1.8","0.564","0.57","0.7","0.9","0.727","0.8","2.7","3.5","1.4","0.4","0.4","0.8","2.6","5.1","0.594","0.532","0.234","5.4","17.2","11.4","11.4","1.2","1.6","15.3","12.8","2016","Sharpshooters",0.6,"MIN","bjeline01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bjeline01.jpg"
"462","Nene Hilario","PF","33","WAS","3.7","6.7","0.544","0","0.1","0","3.7","6.7","0.549","0.544","1.9","3.2","0.578","0.9","3.6","4.5","1.7","0.9","0.5","1.3","2.7","9.2","0.564","0.008","0.482","5.2","21.6","13.2","14.1","2.4","1.9","14","21.6","2016","Bruiser Big Men",0.6,"WAS","hilarne01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hilarne01.jpg"
"463","Nerlens Noel","C","21","PHI","4.6","8.8","0.521","0","0","0.5","4.6","8.7","0.521","0.522","2","3.4","0.59","2.3","5.8","8.1","1.8","1.8","1.5","2.4","2.9","11.1","0.544","0.003","0.387","8.2","22.2","15","10.5","2.9","3.9","18.7","18.8","2016","Big Men",1.3,"PHI","noelne01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/noelne01.jpg"
"464","Nick Young","SG","30","LAL","2.3","6.9","0.339","1.4","4.4","0.325","0.9","2.5","0.363","0.442","1.2","1.4","0.829","0.3","1.5","1.8","0.6","0.4","0.1","0.6","0.9","7.3","0.483","0.637","0.204","1.4","9","5.1","5.4","1.1","0.5","6.9","18.5","2016","Sharpshooters",-0.7,"LAL","youngni01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/youngni01.jpg"
