"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","third2$VORP","Tm.y","Index","Image"
"137","Darren Collison","PG","28","SAC","5.1","10.5","0.486","1.2","2.9","0.401","3.9","7.6","0.519","0.542","2.6","3.1","0.858","0.4","1.9","2.3","4.3","1","0.1","1.8","1.9","14","0.591","0.28","0.291","1.4","6.8","4.1","21.7","1.6","0.1","12.9","19.2","2016","Wing Scorers",0.9,"SAC","collida01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/collida01.jpg"
"138","David Lee","PF","32","TOT","3.2","6.1","0.531","0","0","0","3.2","6.1","0.533","0.531","1.3","1.7","0.763","1.8","3.7","5.5","1.5","0.4","0.5","1.2","2.1","7.8","0.568","0.003","0.278","12","24.6","18.3","15.5","1.2","2.5","14.9","21.5","2016","Bruiser Big Men",0.8,"TOT","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"139","David Lee","PF","32","TOT","3.2","6.1","0.531","0","0","0","3.2","6.1","0.533","0.531","1.3","1.7","0.763","1.8","3.7","5.5","1.5","0.4","0.5","1.2","2.1","7.8","0.568","0.003","0.278","12","24.6","18.3","15.5","1.2","2.5","14.9","21.5","2016","Bruiser Big Men",0.8,"BOS","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"140","David Lee","PF","32","TOT","3.2","6.1","0.531","0","0","0","3.2","6.1","0.533","0.531","1.3","1.7","0.763","1.8","3.7","5.5","1.5","0.4","0.5","1.2","2.1","7.8","0.568","0.003","0.278","12","24.6","18.3","15.5","1.2","2.5","14.9","21.5","2016","Bruiser Big Men",0.8,"DAL","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"141","David Lee","PF","32","BOS","2.9","6.4","0.453","0","0","0","2.9","6.4","0.455","0.453","1.3","1.7","0.784","1.4","3","4.3","1.8","0.4","0.4","1.3","1.7","7.1","0.499","0.005","0.266","9.1","20.4","14.7","18.3","1.2","2.2","15.1","22.9","2016","Bruiser Big Men",0.1,"TOT","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"142","David Lee","PF","32","BOS","2.9","6.4","0.453","0","0","0","2.9","6.4","0.455","0.453","1.3","1.7","0.784","1.4","3","4.3","1.8","0.4","0.4","1.3","1.7","7.1","0.499","0.005","0.266","9.1","20.4","14.7","18.3","1.2","2.2","15.1","22.9","2016","Bruiser Big Men",0.1,"BOS","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"143","David Lee","PF","32","BOS","2.9","6.4","0.453","0","0","0","2.9","6.4","0.455","0.453","1.3","1.7","0.784","1.4","3","4.3","1.8","0.4","0.4","1.3","1.7","7.1","0.499","0.005","0.266","9.1","20.4","14.7","18.3","1.2","2.2","15.1","22.9","2016","Bruiser Big Men",0.1,"DAL","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"144","David Lee","PF","32","DAL","3.6","5.7","0.636","0","0","0","3.6","5.7","0.636","0.636","1.2","1.7","0.738","2.4","4.6","7","1.2","0.4","0.6","1.1","2.5","8.5","0.66","0","0.294","15.2","29.1","22.2","12.5","1.2","2.9","14.8","20","2016","Bruiser Big Men",0.7,"TOT","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"145","David Lee","PF","32","DAL","3.6","5.7","0.636","0","0","0","3.6","5.7","0.636","0.636","1.2","1.7","0.738","2.4","4.6","7","1.2","0.4","0.6","1.1","2.5","8.5","0.66","0","0.294","15.2","29.1","22.2","12.5","1.2","2.9","14.8","20","2016","Bruiser Big Men",0.7,"BOS","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"146","David Lee","PF","32","DAL","3.6","5.7","0.636","0","0","0","3.6","5.7","0.636","0.636","1.2","1.7","0.738","2.4","4.6","7","1.2","0.4","0.6","1.1","2.5","8.5","0.66","0","0.294","15.2","29.1","22.2","12.5","1.2","2.9","14.8","20","2016","Bruiser Big Men",0.7,"DAL","leeda02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/leeda02.jpg"
"147","David West","PF","35","SAS","3.1","5.7","0.545","0","0.1","0.429","3.1","5.7","0.546","0.548","0.8","1","0.788","0.9","3","4","1.8","0.6","0.7","0.9","1.8","7.1","0.573","0.016","0.179","6","18.6","12.5","15.4","1.6","3","12.3","18","2016","Bruiser Big Men",1.9,"SAS","westda01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/westda01.jpg"
"148","DeAndre Jordan","C","27","LAC","4.6","6.6","0.703","0","0","0","4.6","6.6","0.704","0.703","3.5","8","0.43","3.5","10.3","13.8","1.2","0.7","2.3","1.4","2.7","12.7","0.628","0.002","1.219","11.4","32.7","22.2","5.3","1","5.4","12.1","15.4","2016","Big Men",3.5,"LAC","jordade01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/jordade01.jpg"
"149","DeMar DeRozan","SG","26","TOR","7.9","17.7","0.446","0.6","1.8","0.338","7.3","15.9","0.458","0.463","7.1","8.4","0.85","0.8","3.7","4.5","4","1","0.3","2.2","2.1","23.5","0.55","0.101","0.474","2.7","11.5","7.1","20.8","1.5","0.6","9.5","29.8","2016","Ball Handlers",2.4,"TOR","derozde01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/derozde01.jpg"
"150","DeMarcus Cousins","C","25","SAC","9.2","20.5","0.451","1.1","3.2","0.333","8.2","17.3","0.473","0.477","7.3","10.2","0.718","2.4","9.1","11.5","3.3","1.6","1.4","3.8","3.6","26.9","0.538","0.158","0.498","7.7","28.2","18","17","2.2","3.3","13.3","35.4","2016","Big Men",2.6,"SAC","couside01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/couside01.jpg"
"151","DeMarre Carroll","SF","29","TOR","4","10.4","0.389","1.8","4.5","0.39","2.3","5.8","0.388","0.474","1.2","1.9","0.6","1.2","3.5","4.7","1","1.7","0.2","1.1","2.4","11","0.49","0.437","0.185","4.6","13.1","8.9","5.5","2.9","0.6","8.8","18.5","2016","Wing Scorers",0.4,"TOR","carrode01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/carrode01.jpg"
"152","Dennis Schroder","PG","22","ATL","4.1","9.8","0.421","1","3","0.322","3.2","6.8","0.465","0.471","1.8","2.3","0.791","0.3","2.2","2.6","4.4","0.9","0.1","2.3","1.7","11","0.51","0.306","0.233","1.7","11.8","6.9","36.1","2.1","0.4","17.5","28.8","2016","Wing Scorers",0.3,"ATL","schrode01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/schrode01.jpg"
"153","Deron Williams","PG","31","DAL","4.9","11.9","0.414","1.5","4.3","0.344","3.4","7.6","0.454","0.477","2.8","3.2","0.869","0.3","2.6","2.9","5.8","0.9","0.2","2.3","2.4","14.1","0.53","0.364","0.266","1","8.9","5","29.3","1.5","0.6","14.8","22","2016","Ball Handlers",1,"DAL","willide01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/willide01.jpg"
"154","Derrick Favors","PF","24","UTA","6.7","13.1","0.515","0","0.1","0","6.7","13","0.518","0.515","2.9","4.1","0.709","2.7","5.4","8.1","1.5","1.2","1.5","1.7","2.4","16.4","0.551","0.005","0.313","10","19.6","14.8","8.9","2","3.9","10.1","23.9","2016","Big Men",2.3,"UTA","favorde01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/favorde01.jpg"
"155","Derrick Rose","PG","27","CHI","6.8","15.9","0.427","0.7","2.3","0.293","6.1","13.6","0.449","0.448","2.2","2.7","0.793","0.7","2.7","3.4","4.7","0.7","0.2","2.7","1.3","16.4","0.479","0.143","0.171","2.4","8.8","5.6","25.5","1.1","0.5","13.4","27.3","2016","Ball Handlers",-0.7,"CHI","rosede01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/rosede01.jpg"
"156","Derrick Williams","SF","24","NYK","3.2","7.1","0.45","0.6","1.9","0.293","2.6","5.2","0.506","0.488","2.4","3.2","0.758","0.6","3.1","3.7","0.9","0.4","0.1","0.8","0.9","9.3","0.55","0.265","0.453","3.6","18.7","11.3","8.9","1","0.5","8.3","23.3","2016","Wing Scorers",-0.2,"NYK","willide02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/willide02.jpg"
"157","Devin Booker","SG","19","PHO","4.8","11.4","0.423","1.3","3.8","0.343","3.5","7.6","0.464","0.48","2.8","3.4","0.84","0.4","2.1","2.5","2.6","0.6","0.3","2.1","3","13.8","0.535","0.333","0.295","1.4","8.4","4.8","15.8","1","0.8","14","23","2016","Wing Scorers",-0.6,"PHO","bookede01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bookede01.jpg"
"158","Devin Harris","PG","32","DAL","2.6","5.8","0.447","0.8","2.5","0.329","1.8","3.4","0.532","0.516","1.6","2.2","0.721","0.3","1.9","2.2","1.8","0.9","0.2","1","1.9","7.6","0.559","0.422","0.374","1.5","10.3","5.9","14.5","2.4","0.8","13.2","17.9","2016","Sharpshooters",0.7,"DAL","harride01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harride01.jpg"
"159","Dewayne Dedmon","C","26","ORL","1.7","3.1","0.559","0","0","0","1.7","3.1","0.559","0.559","1","1.3","0.75","1.2","2.8","3.9","0.2","0.4","0.8","0.6","1.9","4.4","0.606","0","0.429","10.4","25.7","17.9","2.7","1.6","5.4","13.2","15.2","2016","Bruiser Big Men",0.1,"ORL","dedmode01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dedmode01.jpg"
"160","Dion Waiters","SG","24","OKC","3.6","9.1","0.399","1.1","3.1","0.358","2.5","6","0.421","0.46","1.4","2","0.713","0.5","2.1","2.6","2","1","0.2","1.5","1.8","9.8","0.492","0.34","0.222","1.9","8","5.1","10","1.9","0.5","13.4","17.7","2016","Wing Scorers",-0.1,"OKC","waitedi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/waitedi01.jpg"
"161","Dirk Nowitzki","PF","37","DAL","6.6","14.8","0.448","1.7","4.6","0.368","5","10.3","0.483","0.504","3.3","3.7","0.893","0.7","5.8","6.5","1.8","0.7","0.7","1.1","2.1","18.3","0.555","0.308","0.252","2.4","20.3","11.4","10.1","1.1","1.8","6.4","25.5","2016","Wing Scorers",1.7,"DAL","nowitdi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/nowitdi01.jpg"
"162","Donald Sloan","PG","28","BRK","2.5","5.7","0.44","0.6","1.6","0.384","1.9","4.1","0.462","0.494","1.3","1.7","0.75","0.3","2.6","2.8","4.4","0.5","0.1","1.3","1.2","7","0.536","0.283","0.297","1.4","13.5","7.4","30","1.2","0.2","16.8","16.1","2016","Sharpshooters",-0.1,"BRK","sloando01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/sloando01.jpg"
"163","Donatas Motiejunas","PF","25","HOU","2.4","5.5","0.439","0.4","1.5","0.281","2","4","0.5","0.478","0.9","1.4","0.642","1","1.9","2.9","1.1","0.5","0.1","1.2","1.9","6.2","0.504","0.278","0.259","7.4","14.6","11","12.2","1.5","0.8","16.2","21.4","2016","Sharpshooters",-0.3,"HOU","motiedo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/motiedo01.jpg"
"164","Doug McDermott","SF","24","CHI","3.6","8","0.452","1.4","3.2","0.425","2.2","4.8","0.47","0.537","0.9","1","0.857","0.5","2","2.4","0.7","0.2","0.1","0.7","1.6","9.4","0.561","0.402","0.13","2.1","8.8","5.5","5","0.4","0.2","7.2","17.3","2016","Wing Scorers",-0.5,"CHI","mcderdo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/mcderdo01.jpg"
"165","Draymond Green","PF","25","GSW","5","10.1","0.49","1.2","3.2","0.388","3.7","6.9","0.537","0.551","2.8","4.1","0.696","1.7","7.8","9.5","7.4","1.5","1.4","3.2","3","14","0.587","0.315","0.402","5.5","23","14.7","29","2","3","21.2","18.8","2016","Big Men",5.5,"GSW","greendr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/greendr01.jpg"
"166","Duje Dukan","SF","24","SAC","2","10","0.2","2","5","0.4","0","5","0","0.3","0","0","0.741687973997833","2","2","4","1","1","0","0","2","6","0.3","0.5","0","9.1","9","9","5.6","2","0","0","17.7","2016","Sharpshooters",0,"SAC","dukandu01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dukandu01.jpg"
"167","Dwight Howard","C","30","HOU","5.2","8.5","0.62","0","0.1","0","5.2","8.4","0.626","0.62","3.3","6.7","0.489","3.4","8.4","11.8","1.4","1","1.6","2.3","3.1","13.7","0.604","0.01","0.79","11.4","29.1","20.2","7","1.5","4.1","17","18.4","2016","Big Men",1.5,"HOU","howardw01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/howardw01.jpg"
"168","Dwight Powell","PF","24","DAL","2.1","4.3","0.493","0","0.2","0.125","2.1","4.1","0.514","0.497","1.5","2.1","0.739","1.2","2.7","4","0.6","0.5","0.3","0.6","1.7","5.8","0.557","0.054","0.48","9.3","20.9","15.1","7.2","1.8","2","10","18.4","2016","Bruiser Big Men",0.4,"DAL","poweldw01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/poweldw01.jpg"
"169","Dwyane Wade","SG","34","MIA","7.3","16","0.456","0.1","0.6","0.159","7.2","15.4","0.468","0.459","4.4","5.5","0.793","1.1","3","4.1","4.6","1.1","0.6","2.7","1.6","19","0.517","0.037","0.343","4.3","10.7","7.6","27.4","1.8","1.4","13","31.6","2016","Ball Handlers",1.6,"MIA","wadedw01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/wadedw01.jpg"
"170","E'Twaun Moore","SG","26","CHI","3.2","6.6","0.481","0.8","1.8","0.452","2.4","4.8","0.491","0.541","0.4","0.6","0.629","0.3","1.9","2.3","1.7","0.6","0.3","0.9","1.7","7.5","0.548","0.267","0.09","1.6","9.3","5.5","12.1","1.5","1","11.6","15.9","2016","Sharpshooters",0.1,"CHI","mooreet01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/mooreet01.jpg"
"171","Ed Davis","PF","26","POR","2.5","4.2","0.611","0","0","0","2.5","4.2","0.611","0.611","1.4","2.5","0.559","2.8","4.6","7.4","1.1","0.7","0.9","0.8","2.5","6.5","0.616","0","0.605","14.4","24.2","19.3","7.7","1.7","3.3","13","12.7","2016","Bruiser Big Men",2.3,"POR","davised01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/davised01.jpg"
"172","Elfrid Payton","PG","21","ORL","4.4","10","0.436","0.4","1.3","0.326","3.9","8.7","0.451","0.456","1.5","2.6","0.589","1.1","2.5","3.6","6.4","1.2","0.3","2.4","2.2","10.7","0.478","0.126","0.26","3.9","9.6","6.7","32.8","2.1","0.8","17.9","20.4","2016","Ball Handlers",0.4,"ORL","paytoel01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/paytoel01.jpg"
"173","Elton Brand","C","36","PHI","1.8","4.2","0.431","0","0.1","0","1.8","4.2","0.437","0.431","0.5","0.5","0.889","0.5","3.2","3.7","1.1","0.5","0.5","0.6","1.9","4.1","0.461","0.014","0.125","4.2","27","15.2","13.1","2","2.7","12.6","16.9","2016","Sharpshooters",-0.1,"PHI","brandel01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/brandel01.jpg"
"174","Emmanuel Mudiay","PG","19","DEN","4.8","13.3","0.364","1.1","3.4","0.319","3.8","9.9","0.379","0.404","2.1","3.1","0.67","0.5","2.9","3.4","5.5","1","0.5","3.2","2.1","12.8","0.437","0.256","0.231","1.7","10.9","6.2","29","1.6","1.4","17.9","25.7","2016","Ball Handlers",-1.2,"DEN","mudiaem01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/mudiaem01.jpg"
"175","Enes Kanter","C","23","OKC","5","8.8","0.576","0.1","0.3","0.476","4.9","8.5","0.579","0.583","2.4","3.1","0.797","3","5.1","8.1","0.4","0.3","0.4","1.4","2","12.7","0.626","0.029","0.349","16.7","24.9","21","3.1","0.7","1.5","12.2","23.4","2016","Big Men",0.1,"OKC","kanteen01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/kanteen01.jpg"
"176","Eric Bledsoe","PG","26","PHO","7.2","15.9","0.453","1.5","4.2","0.372","5.6","11.7","0.482","0.502","4.5","5.5","0.802","0.6","3.5","4","6.1","2","0.6","3.5","2.4","20.4","0.557","0.262","0.35","1.8","11.2","6.4","31.8","2.9","1.5","16.2","27.2","2016","Ball Handlers",1.3,"PHO","bledser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/bledser01.jpg"
"177","Eric Gordon","SG","27","NOP","5.1","12.3","0.418","2.5","6.5","0.384","2.6","5.7","0.457","0.521","2.5","2.8","0.888","0.2","2","2.2","2.7","1","0.3","1.6","2.2","15.2","0.565","0.533","0.226","0.7","6.9","3.7","12.7","1.4","0.8","10.7","20.3","2016","Wing Scorers",0.5,"NOP","gordoer01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/gordoer01.jpg"
"178","Ersan Ilyasova","PF","28","TOT","3.8","8.9","0.424","1.3","3.5","0.371","2.5","5.4","0.458","0.496","1.5","2.1","0.721","1.9","3.5","5.4","0.9","0.7","0.4","1","2.3","10.4","0.526","0.392","0.233","8.1","15.6","11.7","5.6","1.4","1.4","8.9","18.6","2016","Wing Scorers",1,"ORL","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"179","Ersan Ilyasova","PF","28","TOT","3.8","8.9","0.424","1.3","3.5","0.371","2.5","5.4","0.458","0.496","1.5","2.1","0.721","1.9","3.5","5.4","0.9","0.7","0.4","1","2.3","10.4","0.526","0.392","0.233","8.1","15.6","11.7","5.6","1.4","1.4","8.9","18.6","2016","Wing Scorers",1,"DET","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"180","Ersan Ilyasova","PF","28","TOT","3.8","8.9","0.424","1.3","3.5","0.371","2.5","5.4","0.458","0.496","1.5","2.1","0.721","1.9","3.5","5.4","0.9","0.7","0.4","1","2.3","10.4","0.526","0.392","0.233","8.1","15.6","11.7","5.6","1.4","1.4","8.9","18.6","2016","Wing Scorers",1,"TOT","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"181","Ersan Ilyasova","PF","28","DET","4.2","9.8","0.425","1.5","4.1","0.363","2.7","5.6","0.471","0.502","1.5","2.1","0.725","1.9","3.5","5.4","1.1","0.7","0.5","1.1","2.3","11.3","0.53","0.423","0.215","7.3","14.5","10.7","6.1","1.3","1.4","9.6","18.7","2016","Wing Scorers",1,"ORL","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"182","Ersan Ilyasova","PF","28","DET","4.2","9.8","0.425","1.5","4.1","0.363","2.7","5.6","0.471","0.502","1.5","2.1","0.725","1.9","3.5","5.4","1.1","0.7","0.5","1.1","2.3","11.3","0.53","0.423","0.215","7.3","14.5","10.7","6.1","1.3","1.4","9.6","18.7","2016","Wing Scorers",1,"DET","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"183","Ersan Ilyasova","PF","28","DET","4.2","9.8","0.425","1.5","4.1","0.363","2.7","5.6","0.471","0.502","1.5","2.1","0.725","1.9","3.5","5.4","1.1","0.7","0.5","1.1","2.3","11.3","0.53","0.423","0.215","7.3","14.5","10.7","6.1","1.3","1.4","9.6","18.7","2016","Wing Scorers",1,"TOT","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"184","Ersan Ilyasova","PF","28","ORL","2.9","7","0.418","0.8","2","0.409","2.1","5","0.422","0.477","1.5","2","0.711","2","3.5","5.5","0.5","0.6","0.3","0.5","2.3","8.1","0.515","0.288","0.294","11","19.1","15","4","1.6","1.1","6.5","18.3","2016","Bruiser Big Men",0,"ORL","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"185","Ersan Ilyasova","PF","28","ORL","2.9","7","0.418","0.8","2","0.409","2.1","5","0.422","0.477","1.5","2","0.711","2","3.5","5.5","0.5","0.6","0.3","0.5","2.3","8.1","0.515","0.288","0.294","11","19.1","15","4","1.6","1.1","6.5","18.3","2016","Bruiser Big Men",0,"DET","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"186","Ersan Ilyasova","PF","28","ORL","2.9","7","0.418","0.8","2","0.409","2.1","5","0.422","0.477","1.5","2","0.711","2","3.5","5.5","0.5","0.6","0.3","0.5","2.3","8.1","0.515","0.288","0.294","11","19.1","15","4","1.6","1.1","6.5","18.3","2016","Bruiser Big Men",0,"TOT","ilyaser01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ilyaser01.jpg"
"187","Evan Fournier","SF","23","ORL","5.4","11.8","0.462","2","4.9","0.4","3.5","6.8","0.506","0.546","2.5","3","0.836","0.4","2.4","2.8","2.7","1.2","0","1.7","2.7","15.4","0.587","0.42","0.256","1.4","8.4","4.9","12.8","1.9","0.1","11.4","20.1","2016","Wing Scorers",1.7,"ORL","fournev01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/fournev01.jpg"
"188","Evan Turner","SG","27","BOS","4.2","9.3","0.456","0.2","1","0.241","4","8.3","0.482","0.469","1.8","2.2","0.827","0.6","4.3","4.9","4.4","1","0.3","2.1","1.7","10.5","0.513","0.11","0.238","2.3","16.5","9.3","23.9","1.7","1","16.9","18.8","2016","Wing Scorers",0.8,"BOS","turneev01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/turneev01.jpg"
"189","Festus Ezeli","C","26","GSW","2.7","5","0.548","0","0","0","2.7","5","0.548","0.548","1.5","2.9","0.53","2","3.6","5.6","0.7","0.4","1.1","0.8","2","7","0.559","0","0.579","13.5","21.9","18","5.8","1.1","4.8","11.7","18.2","2016","Bruiser Big Men",0.4,"GSW","ezelife01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/ezelife01.jpg"
"190","Frank Kaminsky","C","22","CHO","2.7","6.5","0.41","0.8","2.5","0.337","1.8","4","0.455","0.474","1.3","1.8","0.73","0.9","3.3","4.1","1.2","0.5","0.5","0.7","1.6","7.5","0.513","0.385","0.282","4.4","17.2","10.7","9","1.1","2","8.9","17.1","2016","Sharpshooters",0.3,"CHO","kaminfr01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/kaminfr01.jpg"
"191","Garrett Temple","SF","29","WAS","2.5","6.3","0.398","1.1","3.2","0.345","1.4","3.1","0.453","0.486","1.1","1.6","0.728","0.5","2.2","2.7","1.8","0.9","0.2","0.8","2.4","7.3","0.52","0.511","0.248","2","10.3","6.1","10","1.7","0.7","10.3","14","2016","Sharpshooters",0.5,"WAS","templga01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/templga01.jpg"
"192","Gary Harris","SG","21","DEN","4.7","10.1","0.469","1.4","3.9","0.354","3.3","6.2","0.543","0.538","1.4","1.8","0.82","0.7","2.2","2.9","1.9","1.3","0.2","1.3","1.9","12.3","0.566","0.388","0.174","2.4","7.7","5","9.5","2","0.6","10.6","16.5","2016","Wing Scorers",1.3,"DEN","harriga01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/harriga01.jpg"
"193","Gary Neal","SG","31","WAS","3.8","8.1","0.465","1","2.5","0.41","2.8","5.6","0.489","0.528","1.2","1.4","0.855","0.3","1.8","2.1","1.2","0.5","0","0.7","1.4","9.8","0.558","0.308","0.169","1.5","10.2","5.8","9.2","1.2","0.1","7.7","20.5","2016","Wing Scorers",-0.2,"WAS","nealga01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/nealga01.jpg"
"194","George Hill","PG","29","IND","4.4","10","0.441","1.7","4.2","0.408","2.7","5.7","0.466","0.528","1.5","2","0.76","0.8","3.2","4","3.5","1.1","0.2","1.4","2","12.1","0.555","0.425","0.203","2.5","10.3","6.5","15.5","1.6","0.5","11.1","15.8","2016","Wing Scorers",2.2,"IND","hillge01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hillge01.jpg"
"195","Gerald Green","SG","30","MIA","3.3","8.5","0.392","1.2","3.8","0.323","2.1","4.7","0.446","0.463","1","1.3","0.783","0.4","2","2.4","0.8","0.6","0.3","0.7","1.8","8.9","0.491","0.443","0.157","1.9","9.7","5.9","5.6","1.3","0.9","6.8","19.8","2016","Sharpshooters",-0.4,"MIA","greenge01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/greenge01.jpg"
"196","Gerald Henderson","SG","28","POR","3.2","7.3","0.439","0.7","1.9","0.353","2.6","5.5","0.468","0.484","1.6","2","0.767","0.4","2.5","2.9","1","0.5","0.3","0.9","1.2","8.7","0.526","0.257","0.276","2.3","13.7","8","8.2","1.4","1","10.3","20.2","2016","Sharpshooters",-0.5,"POR","hendege02","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hendege02.jpg"
"197","Giannis Antetokounmpo","PG","21","MIL","6.4","12.7","0.506","0.4","1.4","0.257","6.1","11.3","0.537","0.52","3.7","5.1","0.724","1.4","6.2","7.7","4.3","1.2","1.4","2.6","3.2","16.9","0.566","0.108","0.404","4.6","20","12.4","20","1.7","3.4","14.8","22.3","2016","Big Men",3.2,"MIL","antetgi01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/antetgi01.jpg"
"198","Goran Dragic","PG","29","MIA","5.8","12.2","0.477","0.9","2.8","0.312","4.9","9.3","0.527","0.513","1.7","2.3","0.727","0.8","3.1","3.8","5.8","1","0.2","2.6","2.6","14.1","0.537","0.234","0.189","2.7","10.4","6.6","28.7","1.5","0.6","16.3","21.9","2016","Ball Handlers",1.6,"MIA","dragigo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dragigo01.jpg"
"199","Gordon Hayward","SF","25","UTA","6.5","15","0.433","1.8","5.1","0.349","4.7","9.9","0.477","0.493","4.9","6","0.824","0.8","4.2","5","3.7","1.2","0.3","2.5","2.3","19.7","0.559","0.341","0.397","2.5","13.5","8","18.2","1.7","0.8","12.5","25.7","2016","Ball Handlers",3.3,"UTA","haywago01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/haywago01.jpg"
"200","Gorgui Dieng","C","26","MIN","3.8","7.1","0.532","0.1","0.2","0.3","3.7","6.8","0.54","0.537","2.5","3","0.827","1.9","5.2","7.1","1.7","1.1","1.2","1.7","2.7","10.1","0.601","0.035","0.428","8.3","22.1","15.3","10.1","2.1","3.5","16.9","16.7","2016","Bruiser Big Men",2.5,"MIN","dienggo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dienggo01.jpg"
