"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","second2$VORP","Tm.y","Index","Image"
"545","Todd Day","SG","26","MIL","2.8","8.9","0.31","0.6","3.1","0.2","2.1","5.8","0.37","0.345","3","3.3","0.923","1","1.8","2.8","0.6","0.5","0.4","1.4","3.4","9.1","0.443","0.352","0.366","5.6","10.2","7.9","4.6","1.2","1.4","11.8","25","1996","Wing Scorers",-0.2,"MIL","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
"546","Todd Day","SG","26","MIL","2.8","8.9","0.31","0.6","3.1","0.2","2.1","5.8","0.37","0.345","3","3.3","0.923","1","1.8","2.8","0.6","0.5","0.4","1.4","3.4","9.1","0.443","0.352","0.366","5.6","10.2","7.9","4.6","1.2","1.4","11.8","25","1996","Wing Scorers",-0.2,"BOS","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
"547","Todd Day","SG","26","BOS","3.9","10.5","0.371","1.3","3.9","0.343","2.6","6.6","0.388","0.435","2.8","3.7","0.766","0.9","2","2.8","1.4","1.1","0.7","1.4","2.8","12","0.493","0.371","0.35","4.1","9.8","6.9","10","2.3","2.1","10.2","25.2","1996","Swingmen",0.2,"TOT","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
"548","Todd Day","SG","26","BOS","3.9","10.5","0.371","1.3","3.9","0.343","2.6","6.6","0.388","0.435","2.8","3.7","0.766","0.9","2","2.8","1.4","1.1","0.7","1.4","2.8","12","0.493","0.371","0.35","4.1","9.8","6.9","10","2.3","2.1","10.2","25.2","1996","Swingmen",0.2,"MIL","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
"549","Todd Day","SG","26","BOS","3.9","10.5","0.371","1.3","3.9","0.343","2.6","6.6","0.388","0.435","2.8","3.7","0.766","0.9","2","2.8","1.4","1.1","0.7","1.4","2.8","12","0.493","0.371","0.35","4.1","9.8","6.9","10","2.3","2.1","10.2","25.2","1996","Swingmen",0.2,"BOS","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
"550","Todd Day","SG","26","TOT","3.8","10.3","0.366","1.3","3.8","0.331","2.5","6.5","0.386","0.427","2.8","3.6","0.78","0.9","1.9","2.8","1.4","1","0.6","1.4","2.8","11.7","0.489","0.37","0.351","4.3","9.9","7","9.5","2.2","2","10.4","25.2","1996","Swingmen",0,"TOT","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
"551","Todd Day","SG","26","TOT","3.8","10.3","0.366","1.3","3.8","0.331","2.5","6.5","0.386","0.427","2.8","3.6","0.78","0.9","1.9","2.8","1.4","1","0.6","1.4","2.8","11.7","0.489","0.37","0.351","4.3","9.9","7","9.5","2.2","2","10.4","25.2","1996","Swingmen",0,"MIL","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
"552","Todd Day","SG","26","TOT","3.8","10.3","0.366","1.3","3.8","0.331","2.5","6.5","0.386","0.427","2.8","3.6","0.78","0.9","1.9","2.8","1.4","1","0.6","1.4","2.8","11.7","0.489","0.37","0.351","4.3","9.9","7","9.5","2.2","2","10.4","25.2","1996","Swingmen",0,"BOS","dayto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/dayto01.jpg"
"553","Tom Gugliotta","PF","26","MIN","6.1","12.9","0.471","0.3","1.1","0.302","5.7","11.8","0.487","0.484","3.7","4.8","0.773","2.3","6.6","8.8","3.1","1.8","1.2","3","3.4","16.2","0.54","0.086","0.373","7.4","21.7","14.6","14.4","2.5","2.6","16.7","21.9","1996","Bruiser Scorers",3,"MIN","guglito01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/guglito01.jpg"
"554","Tom Hammonds","PF","28","DEN","1.8","3.8","0.474","0","0","0","1.8","3.8","0.474","0.474","1.2","1.6","0.765","1.2","1.9","3.1","0.3","0.3","0.2","0.7","1.9","4.8","0.537","0","0.429","9.4","15.3","12.3","3.5","1.1","0.9","13.1","15.7","1996","Bruiser Big Men",-0.6,"DEN","hammoto01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hammoto01.jpg"
