"","Player","Pos","Age","Tm.x","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Season","Cluster","first2$VORP","Tm.y","Index","Image"
"198","Kiki Vandeweghe","PF","23","DEN","8.6","15.4","0.56","0","0.2","0.077","8.6","15.2","0.565","0.561","4.2","4.9","0.857","1.8","3.8","5.6","3","0.6","0.4","2.3","2.6","21.5","0.612","0.01","0.321","5.9","11.7","8.9","11.9","0.8","0.5","11.6","22.3","1982","Swingmen",2,"DEN","vandeki01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/vandeki01.jpg"
"199","Kurt Nimphius","C","23","DAL","2.2","4.7","0.461","0","0","0","2.2","4.7","0.461","0.461","1","1.7","0.583","1.5","3.2","4.7","1","0.3","1.3","0.9","3","5.3","0.489","0","0.364","9.4","22.1","15.5","7.7","0.8","4.4","14","15.2","1982","Bruiser Big Men",0.2,"DAL","nimphku01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/nimphku01.jpg"
"200","Kurt Rambis","PF","23","LAL","1.8","3.6","0.518","0","0","0","1.8","3.5","0.52","0.518","0.9","1.8","0.504","1.8","3.6","5.4","0.9","0.9","1.2","1.2","2.6","4.6","0.528","0.004","0.513","11.6","21.5","16.8","5.6","2.5","3.6","21.6","12.5","1982","Bruiser Big Men",0.9,"LAL","rambiku01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/rambiku01.jpg"
"201","Kyle Macy","PG","24","PHO","5.9","11.5","0.514","0.5","1.2","0.39","5.5","10.3","0.529","0.535","1.9","2.1","0.899","1","2.2","3.2","4.7","1.7","0.1","1.5","2.3","14.2","0.57","0.106","0.179","3.1","6.9","5.1","18.9","2.4","0.2","10.9","16.6","1982","Other",3.1,"PHO","macyky01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/macyky01.jpg"
"202","Larry Drew","PG","23","KCK","4.4","9.3","0.473","0.1","0.3","0.296","4.3","9","0.479","0.478","1.9","2.3","0.794","0.4","1.5","1.8","5.2","1.4","0","2.1","1.9","10.8","0.52","0.036","0.25","1.7","7","4.2","29.3","2.6","0","17.2","21","1982","Ball Handlers",0.3,"KCK","drewla01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/drewla01.jpg"
"203","Larry Kenon","PF","29","CHI","3.2","6.9","0.466","0","0","0","3.2","6.9","0.466","0.466","0.8","1.5","0.568","1.2","1.8","3","1.1","0.5","0.1","1.4","1.2","7.2","0.481","0","0.214","8.2","11.3","9.9","9.5","1.4","0.4","15.4","21.6","1982","Wing Scorers",-0.6,"CHI","kenonla01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/kenonla01.jpg"
"204","Larry Nance","PF","22","PHO","2.8","5.5","0.521","0","0","0","2.8","5.4","0.522","0.521","0.9","1.5","0.641","1.2","2","3.2","1","0.5","0.9","1.3","2.1","6.6","0.543","0.002","0.268","9.1","14.7","11.9","10","1.7","3.4","17.6","20.6","1982","Bruiser Big Men",0.5,"PHO","nancela01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/nancela01.jpg"
"205","Larry Smith","PF","24","GSW","3","5.6","0.534","0","0","0","3","5.6","0.535","0.534","1.2","2.1","0.553","3.8","7.2","11","1.1","0.9","0.7","1.4","3.9","7.1","0.548","0.002","0.386","13.5","26.8","20","4.6","1.4","1.4","17.9","10.7","1982","Bruiser Big Men",1.9,"GSW","smithla01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/smithla01.jpg"
"206","Len Elmore","C","29","NJN","3.7","8","0.46","0","0","0","3.7","8","0.46","0.46","1.7","2.1","0.794","2.1","3.4","5.4","1.2","1.1","1.1","1.7","3.5","9.1","0.506","0","0.261","8.9","14.9","11.9","6.4","2","2.6","15.8","16.4","1982","Bruiser Big Men",1.2,"NJN","elmorle01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/elmorle01.jpg"
"207","Leon Douglas","C","27","KCK","1.1","2.2","0.5","0","0","0","1.1","2.2","0.5","0.5","0.5","1.3","0.4","1.8","2.8","4.6","0.6","0.2","0.6","0.9","3.3","2.7","0.491","0","0.571","11.1","18.9","14.9","3.8","0.6","2","23.9","8.6","1982","Bruiser Big Men",0,"KCK","douglle01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/douglle01.jpg"
"208","Lionel Hollins","PG","28","PHI","4.7","9.8","0.477","0","0.2","0.125","4.7","9.6","0.484","0.478","1.6","2.3","0.702","0.4","1.9","2.3","3.9","1.3","0.2","1.8","2.4","11","0.508","0.02","0.236","1.8","7.3","4.7","18.9","2.2","0.5","14.2","18.9","1982","Ball Handlers",0.3,"PHI","hollili01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/hollili01.jpg"
"209","Lonnie Shelton","PF","26","SEA","6.3","12.9","0.486","0","0.1","0","6.3","12.8","0.489","0.486","2.3","3","0.783","2","4.3","6.3","3.1","1.2","0.5","2.5","3.9","14.9","0.523","0.008","0.229","6.8","13.7","10.4","13.6","1.8","0.9","14.7","21","1982","Swingmen",2.2,"SEA","sheltlo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/sheltlo01.jpg"
"210","Lorenzo Romar","PG","23","GSW","2.6","5.1","0.504","0","0.2","0.2","2.5","4.9","0.515","0.507","1","1.2","0.823","0.2","1.1","1.2","2.9","0.8","0.2","1.1","1.3","6.2","0.548","0.037","0.238","1","7.6","4.2","23.6","2.3","0.6","16.7","17.1","1982","Wing Scorers",0.1,"GSW","romarlo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/romarlo01.jpg"
"211","Louis Orr","SF","23","IND","4.5","9","0.497","0","0.1","0.125","4.5","8.9","0.501","0.497","2.5","3.2","0.799","1.6","2.6","4.1","1.7","0.7","0.3","1.7","2.3","11.5","0.553","0.011","0.353","6.9","11.6","9.2","10.5","1.4","0.8","14.2","20.7","1982","Bruiser Big Men",0.8,"IND","orrlo01","https://d2cwpp38twqe55.cloudfront.net/req/201902151/images/players/orrlo01.jpg"
